original_question,rewrite_attempt,reason,source,ID,Category,Question,Option A,Option B,Option C,Option D,Correct Answer
Did the Chiefs make it to Super Bowl LVI after 2022?,,Could not auto-rewrite,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,580,2022 NFL Season,Did the Chiefs make it to Super Bowl LVI after 2022?,No,Yes,Lost earlier,Missed playoffs,No
Was 2023 Lamar Jackson's first unanimous MVP?,,Could not auto-rewrite,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,587,2023 NFL Season MVP,Was 2023 Lamar Jackson's first unanimous MVP?,No,Yes,Nearly unanimous,Second unanimous,No
Did Tom Brady unretire?,,Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,606,Tom Brady Career Stats,Did Tom Brady unretire?,Yes,No,Partially,Briefly,Yes
Is Patrick Mahomes a first-team All-Pro?,,Could not auto-rewrite,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,620,Patrick Mahomes Career,Is Patrick Mahomes a first-team All-Pro?,Yes,No,Multiple times,Once,Yes
Is Lamar Jackson known as a dual-threat QB?,,Could not auto-rewrite,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,628,Lamar Jackson Career,Is Lamar Jackson known as a dual-threat QB?,Yes,No,Mostly passer,Mostly rusher,Yes
Is Christian McCaffrey in the Pro Bowl?,,Could not auto-rewrite,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,639,Christian McCaffrey Career,Is Christian McCaffrey in the Pro Bowl?,Yes,No,Multiple times,Once,Yes
Is Tyreek Hill known for his speed?,,Could not auto-rewrite,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,648,Tyreek Hill Career,Is Tyreek Hill known for his speed?,Yes,No,Somewhat,Not really,Yes
Is 122.5 the highest passer rating ever?,,Could not auto-rewrite,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,653,Aaron Rodgers Career Continued,Is 122.5 the highest passer rating ever?,Yes,No,Tied,Not even top 5,Yes
Did Bryce Young go 1st overall in 2023?,,Could not auto-rewrite,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,664,2020-2023 Draft Highlights,Did Bryce Young go 1st overall in 2023?,No,Yes,Second pick,Third pick,No
Did C.J. Stroud go in the top 5 in 2023?,,Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,666,2020-2023 Draft Highlights,Did C.J. Stroud go in the top 5 in 2023?,Yes,No,Exactly 5th,6th,Yes
Did Anthony Richardson go in the top 5 in 2023?,,Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,668,2020-2023 Draft Highlights,Did Anthony Richardson go in the top 5 in 2023?,Yes,No,4th overall,6th,Yes
Did any team go undefeated in 2020-2023?,,Could not auto-rewrite,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,680,2020-2023 Season Records,Did any team go undefeated in 2020-2023?,No,Yes,Close to it,Almost,No
Did Cooper Kupp win the receiving title in 2021?,,Could not auto-rewrite,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,699,Receiving Leaders 2020-2023,Did Cooper Kupp win the receiving title in 2021?,No,Yes,Close,Second place,No
Did the Tampa Bay Buccaneers face the Green Bay Packers in 2020?,,Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,701,Notable Playoff Moments 2020-2023,Did the Tampa Bay Buccaneers face the Green Bay Packers in 2020?,Yes,No,Lost earlier,In Super Bowl,Yes
Did the Green Bay Packers win in 2021 playoffs?,,Could not auto-rewrite,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,705,Notable Playoff Moments 2020-2023,Did the Green Bay Packers win in 2021 playoffs?,No,Yes,Made Super Bowl,Won Super Bowl,No
Did the San Francisco 49ers make it to Super Bowl LVI?,,Could not auto-rewrite,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,706,Notable Playoff Moments 2020-2023,Did the San Francisco 49ers make it to Super Bowl LVI?,No,Yes,Lost earlier,Wild card,No
Did any other player reach 600 career TDs through 2023?,,Could not auto-rewrite,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,713,Individual Milestone Records,Did any other player reach 600 career TDs through 2023?,No,Yes,One did,Two did,No
Did Dan Marino ever win a Super Bowl?,,Could not auto-rewrite,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,748,Hall of Fame & Awards 2020-2023,Did Dan Marino ever win a Super Bowl?,No,Yes,Once,Twice,No
Is Dan Marino in the Hall of Fame?,,Could not auto-rewrite,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,749,Hall of Fame & Awards 2020-2023,Is Dan Marino in the Hall of Fame?,Yes,No,Eligible,Not yet,Yes
Did Mike Evans lead the league in receiving yards in 2020?,,Could not auto-rewrite,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,755,Offensive Legends 2020-2023,Did Mike Evans lead the league in receiving yards in 2020?,No,Yes,Second place,Close,No
Did Rob Gronkowski catch passes in 2020?,,Could not auto-rewrite,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,757,Offensive Legends 2020-2023,Did Rob Gronkowski catch passes in 2020?,Yes,No,Injured,Retired,No
Did Rashaad White have a good 2023 season?,,Could not auto-rewrite,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,767,Running Backs 2020-2023,Did Rashaad White have a good 2023 season?,Yes,No,Injured,Traded,No
Did D'Andre Swift lead the league in rushing yards in 2023?,,Could not auto-rewrite,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,768,Running Backs 2020-2023,Did D'Andre Swift lead the league in rushing yards in 2023?,No,Yes,Second place,Top 5,No
Did Stephon Gilmore win DPOY in 2023?,,Could not auto-rewrite,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,776,Defensive Backs 2020-2023,Did Stephon Gilmore win DPOY in 2023?,No,Yes,Runner-up,Not eligible,No
Did Aaron Donald play in 2023?,,Could not auto-rewrite,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,781,Defensive Line 2020-2023,Did Aaron Donald play in 2023?,No,Yes,Retired,Released,No
Did Chris Jones win DPOY?,,Could not auto-rewrite,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,786,Defensive Line 2020-2023,Did Chris Jones win DPOY?,No,Yes,Runner-up,Not eligible,No
Did J.J. Watt play in 2023?,,Could not auto-rewrite,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,788,Defensive Line 2020-2023,Did J.J. Watt play in 2023?,No,Yes,Limited,Injured,No
Did Bobby Wagner lead the league in tackles?,,Could not auto-rewrite,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,793,Linebackers 2020-2023,Did Bobby Wagner lead the league in tackles?,Yes,No,Close,Multiple years,No
Did Lavonte David win any awards in 2020-2023?,,Could not auto-rewrite,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,797,Linebackers 2020-2023,Did Lavonte David win any awards in 2020-2023?,No,Yes,Pro Bowl,All-Pro,No
Did Harrison Butker win any awards in 2021-2023?,,Could not auto-rewrite,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,801,Special Teams & Kickers 2020-2023,Did Harrison Butker win any awards in 2021-2023?,No,Yes,Pro Bowl,All-Pro,No
Is Justin Tucker in the Hall of Fame?,,Could not auto-rewrite,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,806,Special Teams & Kickers 2020-2023,Is Justin Tucker in the Hall of Fame?,No,Yes,Eligible,Retired,No
Did Greg Joseph win any awards?,,Could not auto-rewrite,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,809,Special Teams & Kickers 2020-2023,Did Greg Joseph win any awards?,No,Yes,Pro Bowl,All-Pro,No
Did Bruce Arians coach the Buccaneers in 2020-2021?,,Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,811,Coaching Changes 2020-2023,Did Bruce Arians coach the Buccaneers in 2020-2021?,Yes,No,Partial,Not entire,Yes
Did Sean Payton coach the Broncos?,,Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,815,Coaching Changes 2020-2023,Did Sean Payton coach the Broncos?,Yes,No,Later,Not yet,Yes
Did Jeff Saturday coach the Colts?,,Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,817,Coaching Changes 2020-2023,Did Jeff Saturday coach the Colts?,Yes,No,Interim,Briefly,Yes
Did the Colts have success under Jeff Saturday?,,Could not auto-rewrite,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,818,Coaching Changes 2020-2023,Did the Colts have success under Jeff Saturday?,No,Yes,Minor,Some games,No
Did Jim Harbaugh coach the Chargers?,,Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,819,Coaching Changes 2020-2023,Did Jim Harbaugh coach the Chargers?,Yes,No,Later,Almost,Yes
Did the Carolina Panthers have a turnaround?,,Could not auto-rewrite,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,823,Team Turnarounds,Did the Carolina Panthers have a turnaround?,No,Yes,2022,2021,No
Did Doug Pederson coach the Jaguars?,,Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,825,Team Turnarounds,Did Doug Pederson coach the Jaguars?,Yes,No,Later,Almost,Yes
Did the Indianapolis Colts improve in 2023?,,Could not auto-rewrite,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,827,Team Turnarounds,Did the Indianapolis Colts improve in 2023?,No,Yes,Minor,Slightly,No
Did the Tennessee Titans decline in 2023?,,Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,828,Team Turnarounds,Did the Tennessee Titans decline in 2023?,Yes,No,Slightly,Somewhat,Yes
Did Mike Vrabel coach the Titans?,,Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,829,Team Turnarounds,Did Mike Vrabel coach the Titans?,Yes,No,Previously,Will coach,Yes
Did the Titans make the playoffs in 2023?,,Could not auto-rewrite,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,830,Team Turnarounds,Did the Titans make the playoffs in 2023?,No,Yes,Wild card,Close,No
Did the Buccaneers dominate in Super Bowl LV?,,Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,833,Comebacks & Close Games,Did the Buccaneers dominate in Super Bowl LV?,Yes,No,Close game,Tied,Yes
Was Super Bowl LVI close?,,Could not auto-rewrite,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,834,Comebacks & Close Games,Was Super Bowl LVI close?,Yes,No,Very close,Blowout,Yes
Was Super Bowl LVII close?,,Could not auto-rewrite,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,836,Comebacks & Close Games,Was Super Bowl LVII close?,Yes,No,Very close,Blowout,Yes
Was Super Bowl LVIII close?,,Could not auto-rewrite,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,838,Comebacks & Close Games,Was Super Bowl LVIII close?,Yes,No,Very close,Blowout,Yes
Did the Buccaneers play as a wild card in 2020?,,Could not auto-rewrite,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,852,Playoff History 2020-2023,Did the Buccaneers play as a wild card in 2020?,No,Yes,Division winner,1 seed,No
Did the Ravens win the AFC North in 2021?,,Could not auto-rewrite,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,854,Playoff History 2020-2023,Did the Ravens win the AFC North in 2021?,No,Yes,Wild card,Missed,No
Did the Cowboys win the NFC East in 2022?,,Could not auto-rewrite,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,856,Playoff History 2020-2023,Did the Cowboys win the NFC East in 2022?,No,Yes,Wild card,Missed,No
Was Lamar Jackson a unanimous MVP in 2019?,,Could not auto-rewrite,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,871,Unanimous Picks & MVPs,Was Lamar Jackson a unanimous MVP in 2019?,Yes,No,Nearly,Close,Yes
Was Aaron Rodgers unanimous MVP in 2020?,,Could not auto-rewrite,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,872,Unanimous Picks & MVPs,Was Aaron Rodgers unanimous MVP in 2020?,No,Yes,Nearly,Close,No
Was Tom Brady unanimous MVP in 2021?,,Could not auto-rewrite,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,873,Unanimous Picks & MVPs,Was Tom Brady unanimous MVP in 2021?,No,Yes,Nearly,Close,No
Was Patrick Mahomes unanimous MVP in 2022?,,Could not auto-rewrite,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,874,Unanimous Picks & MVPs,Was Patrick Mahomes unanimous MVP in 2022?,No,Yes,Nearly,Close,No
Was Lamar Jackson nearly unanimous in 2023?,,Could not auto-rewrite,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,875,Unanimous Picks & MVPs,Was Lamar Jackson nearly unanimous in 2023?,Yes,No,One vote,Tied,Yes
Did Josh Allen ever win MVP?,,Could not auto-rewrite,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,877,Unanimous Picks & MVPs,Did Josh Allen ever win MVP?,No,Yes,2019,2023,No
Did Jalen Hurts ever win MVP?,,Could not auto-rewrite,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,878,Unanimous Picks & MVPs,Did Jalen Hurts ever win MVP?,No,Yes,2022,Close,No
Has any QB won back-to-back MVPs recently?,,Could not auto-rewrite,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,879,Unanimous Picks & MVPs,Has any QB won back-to-back MVPs recently?,No,Yes,Different positions,Rare,No
Did Lamar Jackson win back-to-back MVPs?,,Could not auto-rewrite,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,880,Unanimous Picks & MVPs,Did Lamar Jackson win back-to-back MVPs?,No,Yes,2019 & 2024,Different years,No
Did Alvin Kamara stay healthy?,,Could not auto-rewrite,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,884,Injury-Impacted Seasons,Did Alvin Kamara stay healthy?,No,Yes,Missed games,Mostly,No
Did Josh Allen stay healthy?,,Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,889,Injury-Impacted Seasons,Did Josh Allen stay healthy?,Yes,No,Minor issues,Some games,Yes
Did Antonio Brown finish the 2020 season?,,Could not auto-rewrite,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,894,Notable Transactions & Signings,Did Antonio Brown finish the 2020 season?,No,Yes,Mid-game quit,Released,No
Did the 49ers acquire Elijah Mitchell?,,Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,899,Notable Transactions & Signings,Did the 49ers acquire Elijah Mitchell?,Yes,No,Traded for,Draft,Yes
Did the Eagles add aggressive trades in 2023?,,Could not auto-rewrite,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,900,Notable Transactions & Signings,Did the Eagles add aggressive trades in 2023?,No,Yes,One trade,Minor,No
