reason,source,ID,Category,Question,Option A,Option B,Option C,Option D,Correct Answer
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,395,Trivia & Fun Facts,Did Jalen Hurts become only the 3rd starting QB to win both a championship and Super Bowl?,Yes,No,Almost,2nd,Yes
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,397,Trivia & Fun Facts,Did Jalen Hurts play in college?,Yes,No,Briefly,High school only,Yes
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,399,Trivia & Fun Facts,Did Jalen Hurts win a national championship in college?,No,Yes,Made final four,Close,No
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,403,Notable Draft Picks,Did Caleb Williams win the Heisman Trophy?,Yes,No,Multiple times,Finalist,Yes
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,406,Notable Draft Picks,Did Drake Maye attend UNC?,Yes,No,Harvard,Yale,Yes
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,407,Notable Draft Picks,Was Drake Maye a successful Patriots draft pick?,Developing,No,Yes,Too early,Developing
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,409,Notable Draft Picks,Did Michael Penix Jr. sign with the Falcons?,Yes,Cardinals,Colts,Jaguars,Colts
Problematic answer,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,410,Notable Draft Picks,How many quarterbacks were selected in the first round of 2024?,5,4,6,3,5
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,416,Statistical Leaders Continued,Did any defensive back win MVP in recent years?,No,Yes,Not since 1980s,Pending,No
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,417,Statistical Leaders Continued,Did any linebacker win MVP in recent years?,No,Yes,Not since 2000s,Pending,No
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,421,Playoff Seeding Analysis,Did the #1 seed in the AFC have an easy path to the Super Bowl?,No,Yes,Average,Moderate,No
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,422,Playoff Seeding Analysis,Did the #1 seed in the NFC make it to the Super Bowl?,No,Yes,Lost earlier,Barely,No
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,424,Playoff Seeding Analysis,Was the Lions' loss a major upset?,No,Yes,Unexpected,Surprising,No
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,425,Playoff Seeding Analysis,Did the Chiefs make the Super Bowl as the #1 seed?,Yes,No,From wild card,From 3 seed,Yes
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,426,Playoff Seeding Analysis,Did the Eagles make the Super Bowl as the #2 seed?,Yes,No,From wild card,From 5 seed,Yes
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,427,Playoff Seeding Analysis,Has a #2 seed ever made the Super Bowl?,Yes,No,Rarely,Once,Yes
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,428,Playoff Seeding Analysis,Did the Bills have a favorable playoff path?,No,Yes,Average,Tough,No
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,431,Injury & Health Updates,Were there any major injuries during Super Bowl LIX?,No,Yes,Minor,Some,No
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,432,Injury & Health Updates,Did Patrick Mahomes have any injuries in 2024?,Yes,No,Minor,Recovery,Yes
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,433,Injury & Health Updates,Did Josh Allen have any injuries in 2024?,No,Yes,Minor,Shoulder,No
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,434,Injury & Health Updates,Did Lamar Jackson have any injuries in 2024?,No,Yes,Minor,Knee,No
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,435,Injury & Health Updates,Did Jalen Hurts have any injuries in 2024?,No,Yes,Minor,Shoulder,No
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,436,Injury & Health Updates,Did Saquon Barkley have any injuries in 2024?,No,Yes,Minor,Ankle,No
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,437,Injury & Health Updates,Did the Eagles have a healthy roster in 2024?,Yes,No,Mostly,Some issues,Yes
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,438,Injury & Health Updates,Did the Chiefs have health issues in 2024?,Yes,No,Minor,Some,Yes
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,439,Injury & Health Updates,Did the Lions have major injuries in 2024?,Yes,No,Some,Minor,Yes
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,441,Fan Voting & Selections,Did Josh Allen win the Pro Bowl vote in 2024?,Yes,No,Tied,Did not vote,Yes
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,442,Fan Voting & Selections,Did Patrick Mahomes make the Pro Bowl in 2024?,Yes,No,Alternate,Did not vote,Yes
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,443,Fan Voting & Selections,Did Lamar Jackson make the Pro Bowl in 2024?,Yes,No,Alternate,Did not vote,Yes
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,444,Fan Voting & Selections,Did Saquon Barkley make the Pro Bowl in 2024?,Yes,No,Alternate,Did not vote,Yes
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,445,Fan Voting & Selections,Did Travis Kelce make the Pro Bowl in 2024?,Yes,No,Alternate,Did not vote,Yes
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,446,Fan Voting & Selections,Did Tyreek Hill make the Pro Bowl in 2024?,Yes,No,Alternate,Did not vote,Yes
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,447,Fan Voting & Selections,Did CeeDee Lamb make the Pro Bowl in 2024?,Yes,No,Alternate,Did not vote,Yes
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,448,Fan Voting & Selections,Did Patrick Surtain II make the Pro Bowl in 2024?,Yes,No,Alternate,Did not vote,Yes
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,449,Fan Voting & Selections,Did Trey Hendrickson make the Pro Bowl in 2024?,Yes,No,Alternate,Did not vote,Yes
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,450,Fan Voting & Selections,Did the Eagles have multiple Pro Bowlers?,Yes,No,Some,Few,Yes
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,451,Franchise Records & Milestones,Did the Eagles win their second Super Bowl in franchise history?,Yes,No,First,Third,Yes
Problematic answer,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,452,Franchise Records & Milestones,How many Super Bowls have the Eagles won total?,2,1,3,0,2
Problematic answer,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,454,Franchise Records & Milestones,How many championships do the Eagles have (including pre-Super Bowl era)?,5,4,3,2,5
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,455,Franchise Records & Milestones,Did the Eagles make the Super Bowl in 2017?,Yes,No,Lost earlier,Alternate,Yes
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,460,Franchise Records & Milestones,Have the Eagles had success in recent years?,Yes,No,Mixed,Inconsistent,Yes
Problematic answer,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,461,Competitive Balance,How many different conference winners were there across different divisions?,8,7,6,9,8
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,462,Competitive Balance,Did any division have two teams with 12+ wins?,Yes,No,One division,Multiple,Yes
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,463,Competitive Balance,Did any division have all playoff-quality teams?,No,Yes,One did,NFC North,No
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,464,Competitive Balance,Was 2024 a competitive NFL season?,Yes,No,Somewhat,Very much,Yes
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,465,Competitive Balance,Did the playoff bracket have major surprises?,No,Yes,Some,Few,No
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,466,Competitive Balance,Was the Super Bowl matchup expected?,Yes,No,Somewhat,Partially,Yes
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,467,Competitive Balance,Did any playoff team exceed expectations?,Yes,No,Few,One,Yes
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,468,Competitive Balance,Did any playoff team underperform?,Yes,No,Few,One,Yes
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,469,Competitive Balance,Was there competitive parity in 2024?,Yes,No,Some,Limited,Yes
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,474,Media & Broadcasting,Does ESPN have exclusive Monday Night Football?,Yes,No,Shares,Partial,Yes
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,476,Media & Broadcasting,Do streaming services carry NFL games?,Yes,No,Some,Limited,Yes
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,478,Media & Broadcasting,Did the 2024 NFL season have strong viewership?,Yes,No,Average,Declining,Yes
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,479,Media & Broadcasting,Are Super Bowls always the most-watched sporting event in the US?,Usually,No,Sometimes,Always,Usually
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,480,Media & Broadcasting,Will the Eagles-Chiefs Super Bowl have lasting impact?,Yes,No,Some,Minimal,Yes
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,481,Rule Changes & Officiating,Were there any major rule changes in 2024?,No,Yes,Some minor,Pending,No
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,483,Rule Changes & Officiating,Is pass interference still a reviewable call?,Limited,Yes,No,Rarely,Limited
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,484,Rule Changes & Officiating,Can defensive pass interference be challenged?,No,Yes,Limited,On offense,Limited
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,485,Rule Changes & Officiating,Are there kickoff rule changes?,Yes,No,Recently changed,Under review,Yes
Problematic answer,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,488,Rule Changes & Officiating,How many officials are on the field?,7,6,8,5,7
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,489,Rule Changes & Officiating,Is the NFL considering playoff expansion?,No,Yes,Under review,Pending,No
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,491,Youth & Rookie Development,Did any 2024 rookie win major awards besides Daniels?,Yes,No,Verse did,Bowers near,Yes
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,494,Youth & Rookie Development,Did any 2024 QB recruit become an immediate starter?,Yes,No,Some,All,Yes
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions.csv,499,Youth & Rookie Development,Do rookies have more impact now than historically?,Yes,No,Same,Less,Yes
Problematic answer,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,503,Super Bowl LIV 2020,How many passing touchdowns did Patrick Mahomes have in Super Bowl LIV?,2,1,3,4,2
Problematic answer,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,504,Super Bowl LIV 2020,How many rushing touchdowns did Patrick Mahomes have in Super Bowl LIV?,1,2,0,3,1
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,505,Super Bowl LIV 2020,Did the Chiefs overcome a deficit in Super Bowl LIV?,Yes,No,Led entire game,Never trailed,Yes
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,510,Super Bowl LIV 2020,Did Patrick Mahomes become the youngest to win both MVP and Super Bowl?,Yes,No,Tied record,Close,Yes
Problematic answer,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,514,Super Bowl LV 2021,How many Super Bowl wins does Tom Brady have total?,7,6,5,8,7
Problematic answer,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,516,Super Bowl LV 2021,How many interceptions did Patrick Mahomes throw in Super Bowl LV?,2,1,3,0,2
Problematic answer,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,517,Super Bowl LV 2021,How many interceptions did the Buccaneers get in Super Bowl LV?,2,3,1,4,2
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,518,Super Bowl LV 2021,Did Tom Brady play for the Buccaneers in 2020?,Yes,No,Starting 2021,Mid-season,Yes
Problematic answer,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,519,Super Bowl LV 2021,How many touchdowns did Tom Brady throw in Super Bowl LV?,3,2,4,1,3
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,520,Super Bowl LV 2021,Was this the first time a team won at home?,No,Yes,Second time,Rare,No
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,525,Super Bowl LVI 2022,Did the Rams win at their home stadium?,Yes,No,Neutral site,In Cincinnati,Yes
Problematic answer,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,527,Super Bowl LVI 2022,How many Super Bowls have the Rams won?,2,1,3,0,2
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,529,Super Bowl LVI 2022,Did Matthew Stafford get his first Super Bowl win?,Yes,No,Second,Third,Yes
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,536,Super Bowl LVII 2023,Did the Chiefs win back-to-back Super Bowls?,Yes,No,2 straight wins,3 straight wins,Yes
Problematic answer,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,537,Super Bowl LVII 2023,How many passing touchdowns did Patrick Mahomes have in Super Bowl LVII?,2,3,1,4,2
Problematic answer,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,538,Super Bowl LVII 2023,How many passing touchdowns did Jalen Hurts have in Super Bowl LVII?,3,2,4,1,3
Problematic answer,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,540,Super Bowl LVII 2023,How many consecutive Super Bowls has Patrick Mahomes been in?,3,2,4,1,3
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,542,Super Bowl LVIII 2024,Did Super Bowl LVIII go to overtime?,Yes,No,Double OT,Triple OT,Yes
Problematic answer,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,545,Super Bowl LVIII 2024,How many Super Bowl wins does Patrick Mahomes have?,3,2,4,1,3
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,546,Super Bowl LVIII 2024,Did this make the Chiefs the first back-to-back since 2004?,Yes,No,Third in a row,First ever,Yes
Problematic answer,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,548,Super Bowl LVIII 2024,How many Super Bowl championships does the Kansas City Chiefs franchise have?,4,3,5,2,4
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,549,Super Bowl LVIII 2024,Did Christian McCaffrey score in Super Bowl LVIII?,Yes,No,Multiple,One TD,Yes
Problematic answer,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,553,2020 NFL Season,How many interceptions did Aaron Rodgers throw in 2020?,5,7,3,10,5
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,558,2020 NFL Season,Is 121.5 the second-highest passer rating in NFL history?,Yes,No,Tied,Not even top 5,Yes
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,560,2020 NFL Season,Did the Packers win the NFC North in 2020?,Yes,No,Wild card,Missed playoffs,Yes
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,561,2021 NFL Season,Did Tom Brady win the MVP in 2021?,No,Yes,Shared,Runner-up,No
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,564,2021 NFL Season,Did Tom Brady throw for 40+ touchdowns in 2021?,Yes,No,Exactly 40,39,Yes
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,567,2021 NFL Season,Did Tom Brady play in his first Super Bowl with Tampa Bay?,Yes,No,Not yet,Already won,No
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,568,2021 NFL Season,Did Tom Brady break any records in 2021?,Yes,No,Several,One or two,Yes
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,576,2022 NFL Season,Was 2022 Patrick Mahomes' second MVP?,Yes,No,Third,First,Yes
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,577,2022 NFL Season,Did Patrick Mahomes win a Super Bowl MVP in 2022?,Yes,No,Not yet,Later won,Yes
Problematic answer,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,578,2022 NFL Season,How many Super Bowl titles did the Chiefs win through 2022?,3,2,4,1,3
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,580,2022 NFL Season,Did the Chiefs make it to Super Bowl LVI after 2022?,No,Yes,Lost earlier,Missed playoffs,No
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,587,2023 NFL Season MVP,Was 2023 Lamar Jackson's first unanimous MVP?,No,Yes,Nearly unanimous,Second unanimous,No
Problematic answer,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,588,2023 NFL Season MVP,How many MVP awards does Lamar Jackson have?,3,2,4,1,3
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,589,2023 NFL Season MVP,Did Lamar Jackson win unanimously in 2019?,Yes,No,Close,Tied,Yes
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,595,2023 Season Awards,Did Christian McCaffrey have 17 consecutive games with a touchdown?,Yes,No,19 games,15 games,Yes
Problematic answer,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,597,2023 Season Awards,How many Heisman Trophy winners have won multiple MVPs?,2,1,3,4,2
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,599,2023 Season Awards,Did Christian McCaffrey finish in top 5 MVP voting?,Yes,No,Third place,Second place,Yes
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,606,Tom Brady Career Stats,Did Tom Brady unretire?,Yes,No,Partially,Briefly,Yes
Problematic answer,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,608,Tom Brady Career Stats,How many consecutive Super Bowls did Brady play in?,9,8,10,7,9
Problematic answer,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,611,Patrick Mahomes Career,How many Pro Bowls has Patrick Mahomes made through 2024?,6,5,7,4,6
Problematic answer,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,612,Patrick Mahomes Career,How many MVP awards does Patrick Mahomes have?,3,2,4,1,3
Problematic answer,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,613,Patrick Mahomes Career,How many Super Bowl MVP awards does Patrick Mahomes have?,3,2,4,1,3
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,617,Patrick Mahomes Career,Did Patrick Mahomes play baseball in college?,Yes,No,Minor league,Briefly,Yes
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,620,Patrick Mahomes Career,Is Patrick Mahomes a first-team All-Pro?,Yes,No,Multiple times,Once,Yes
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,624,Lamar Jackson Career,Did Lamar Jackson win the Heisman Trophy?,Yes,No,Runner-up,Not eligible,Yes
Problematic answer,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,627,Lamar Jackson Career,How many rushing touchdowns did Lamar Jackson have in 2023?,5,3,7,4,5
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,628,Lamar Jackson Career,Is Lamar Jackson known as a dual-threat QB?,Yes,No,Mostly passer,Mostly rusher,Yes
Problematic answer,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,629,Lamar Jackson Career,How many Pro Bowls has Lamar Jackson made?,5,4,6,3,5
Problematic answer,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,630,Lamar Jackson Career,How many All-Pro selections does Lamar Jackson have?,4,3,5,2,4
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,634,Christian McCaffrey Career,Did Christian McCaffrey get traded?,Yes,No,Multiple times,Almost,Yes
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,637,Christian McCaffrey Career,Did Christian McCaffrey play at Stanford?,Yes,No,Transferred,Graduate school,Yes
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,639,Christian McCaffrey Career,Is Christian McCaffrey in the Pro Bowl?,Yes,No,Multiple times,Once,Yes
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,644,Tyreek Hill Career,Did Tyreek Hill get traded?,Yes,No,Multiple times,Almost,Yes
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,648,Tyreek Hill Career,Is Tyreek Hill known for his speed?,Yes,No,Somewhat,Not really,Yes
Problematic answer,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,649,Tyreek Hill Career,How many Pro Bowls has Tyreek Hill made?,7,6,8,5,7
Problematic answer,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,650,Tyreek Hill Career,How many All-Pro selections does Tyreek Hill have?,5,4,6,3,5
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,653,Aaron Rodgers Career Continued,Is 122.5 the highest passer rating ever?,Yes,No,Tied,Not even top 5,Yes
Problematic answer,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,654,Aaron Rodgers Career Continued,How many Super Bowls has Aaron Rodgers won?,1,2,3,0,1
Problematic answer,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,659,Aaron Rodgers Career Continued,How many Pro Bowls has Aaron Rodgers made?,9,8,10,7,9
Problematic answer,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,660,Aaron Rodgers Career Continued,How many All-Pro selections does Aaron Rodgers have?,9,8,10,7,9
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,664,2020-2023 Draft Highlights,Did Bryce Young go 1st overall in 2023?,No,Yes,Second pick,Third pick,No
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,666,2020-2023 Draft Highlights,Did C.J. Stroud go in the top 5 in 2023?,Yes,No,Exactly 5th,6th,Yes
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,668,2020-2023 Draft Highlights,Did Anthony Richardson go in the top 5 in 2023?,Yes,No,4th overall,6th,Yes
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,670,2020-2023 Draft Highlights,Did Will Anderson Jr. play defensive end?,Yes,No,Linebacker,Safety,Yes
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,680,2020-2023 Season Records,Did any team go undefeated in 2020-2023?,No,Yes,Close to it,Almost,No
Contains Yes/No options,.kiro/specs/vortex-arena-map/nfl_trivia_500_questions_part2.csv,685,Defensive Standouts 2020-2023,Did T.J. Watt tie the single-season sacks record?,Yes,No,Broke it,Close,Yes
